timeStamp,Time,elapsed,responseCode,threadName,grpThreads,allThreads,Latency,IdleTime,Connect
1.5834E+12,05/03/2020 10:24:08.206,1351,200,Thread Group 1-2,6,6,1333,0,4
1.5834E+12,05/03/2020 10:24:08.840,1111,200,Thread Group 1-5,8,8,1111,0,2
1.5834E+12,05/03/2020 10:24:08.920,2223,200,Thread Group 1-1,9,9,2223,0,41
1.5834E+12,05/03/2020 10:24:08.986,778,200,Thread Group 1-2,9,9,778,0,0
1.5834E+12,05/03/2020 10:24:08.990,1860,200,Thread Group 1-3,9,9,1860,0,2
1.5834E+12,05/03/2020 10:24:08.993,981,200,Thread Group 1-6,9,9,981,0,2
1.5834E+12,05/03/2020 10:24:09.028,1605,200,Thread Group 1-4,9,9,1605,0,3
1.5834E+12,05/03/2020 10:24:10.193,1281,200,Thread Group 1-9,10,10,1281,0,1
1.5834E+12,05/03/2020 10:24:10.269,1428,200,Thread Group 1-5,10,10,1428,0,0
1.5834E+12,05/03/2020 10:24:10.322,1336,200,Thread Group 1-2,10,10,1336,0,7
1.5834E+12,05/03/2020 10:24:10.325,1332,200,Thread Group 1-6,10,10,1332,0,0
1.5834E+12,05/03/2020 10:24:10.328,1337,200,Thread Group 1-3,10,10,1337,0,0
1.5834E+12,05/03/2020 10:24:10.335,2024,200,Thread Group 1-7,10,10,2023,0,2
1.5834E+12,05/03/2020 10:24:10.445,1417,200,Thread Group 1-4,10,10,1417,0,0
1.5834E+12,05/03/2020 10:24:10.741,413,200,Thread Group 1-3,10,10,413,0,4
1.5834E+12,05/03/2020 10:24:10.746,424,200,Thread Group 1-2,10,10,424,0,0
1.5834E+12,05/03/2020 10:24:10.782,1862,200,Thread Group 1-1,10,10,1861,0,4
1.5834E+12,05/03/2020 10:24:10.982,656,200,Thread Group 1-6,10,10,656,0,4
1.5834E+12,05/03/2020 10:24:11.442,660,200,Thread Group 1-1,10,10,660,0,0
1.5834E+12,05/03/2020 10:24:11.503,761,200,Thread Group 1-3,10,10,761,0,0
1.5834E+12,05/03/2020 10:24:11.525,542,200,Thread Group 1-6,10,10,542,0,0
1.5834E+12,05/03/2020 10:24:11.634,131,200,Thread Group 1-3,10,10,130,0,0
1.5834E+12,05/03/2020 10:24:11.658,216,200,Thread Group 1-1,10,10,216,0,2
1.5834E+12,05/03/2020 10:24:11.735,210,200,Thread Group 1-6,10,10,210,0,0
1.5834E+12,05/03/2020 10:24:11.736,988,200,Thread Group 1-2,10,10,988,0,0
1.5834E+12,05/03/2020 10:24:11.945,310,200,Thread Group 1-3,10,10,310,0,0
1.5834E+12,05/03/2020 10:24:12.143,1697,200,Thread Group 1-4,10,10,1697,0,19
1.5834E+12,05/03/2020 10:24:12.231,3018,200,Thread Group 1-10,10,10,3018,0,2
1.5834E+12,05/03/2020 10:24:12.248,103,200,Thread Group 1-4,10,10,103,0,0
1.5834E+12,05/03/2020 10:24:12.349,100,200,Thread Group 1-4,10,10,100,0,0
1.5834E+12,05/03/2020 10:24:12.357,697,200,Thread Group 1-1,10,10,697,0,0
